vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
1,202248,1,DON A BAKER,BAKER-SKYBOLT,DON A BAKER BAKER-SKYBOLT,AIR,,N453DB,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
2,202247,1,PITTS,S1S,PITTS S1S,AIR,,N401MS,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
3,202249,1,NANCHANG CHINA,CJ-6A,NANCHANG CHINA CJ-6A,AIR,,N559TX,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
4,202231,1,CESSNA,T188,CESSNA T188,AIR,,CC-DLH,Substantial,None,None,,,False,False,,000,AAPL,2026-04-03 04:05:44.570293+00:00
5,202228,1,LANCAIR,Legacy,LANCAIR LEGACY,AIR,,N618AM,Destroyed,On-Ground,Unknown,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
6,200820,1,CESSNA,180G,CESSNA 180G,AIR,,N4721U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
7,202233,1,ICON AIRCRAFT INC,A5,ICON AIRCRAFT INC A5,AIR,,N601BA,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
8,202225,1,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,AIR,,N506SR,Substantial,None,None,1.0,,True,False,McKnight Aviation LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
9,202264,1,ROBINSON,R44,ROBINSON R44,HELI,,PP-BAN,Substantial,Unknown,Unknown,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
10,202224,1,VARGA AIRCRAFT CORP.,2150A,VARGA AIRCRAFT CORP. 2150A,AIR,,N5062V,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
11,202196,1,CESSNA,172P,CESSNA 172P,AIR,,N54576,Substantial,None,None,1.0,,True,False,RICK AVIATION INC,091,PERS,2026-04-03 04:05:44.570293+00:00
12,202213,1,ENSTROM,280,ENSTROM 280,HELI,,N280MG,Destroyed,On-Ground,None,1.0,,True,False,M&M CHARTER LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
13,202213,2,ENSTROM,F28,ENSTROM F28,HELI,,N520H,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
14,202217,1,BEECH,B90,BEECH B90,,,N40BA,,,,,,True,False,Lux Air,091,,2026-04-03 04:05:44.570293+00:00
15,202269,1,BOEING,737-800,BOEING 737-800,,,EI-HGO,,,,,,False,False,Ryanair,129,,2026-04-03 04:05:44.570293+00:00
16,202223,1,CESSNA,140,CESSNA 140,AIR,,N89884,Substantial,None,None,1.0,,True,False,VALIAIR LC TRUSTEE,091,PERS,2026-04-03 04:05:44.570293+00:00
17,202222,1,EVEKTOR - AEROTECHNIK A S,SPORTSTAR MAX,EVEKTOR - AEROTECHNIK A S SPORTSTAR,AIR,,N2312T,Substantial,None,None,1.0,,True,False,ATHENEAIR LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
18,202216,1,KITFOX,CLASC IV-1200,KITFOX CLASC,AIR,,N239DA,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
19,202227,1,CESSNA,170,CESSNA 170,AIR,,PT-AGB,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
20,202265,1,WAG AERO,CUBY,WAG AERO CUBY,AIR,,N437WT,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
21,202268,1,CESSNA,172,CESSNA 172,AIR,,N172BX,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
22,202208,1,PIPER,PA-32-260,PIPER PA-32-260,AIR,,N2785Q,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
23,202229,1,DASSAULT,FALCON50,DASSAULT FALCON50,AIR,,9H-DFS,Destroyed,Unknown,Unknown,,,False,False,,000,EXEC,2026-04-03 04:05:44.570293+00:00
24,202221,1,ZENITH,750,ZENITH 750,AIR,,N186BG,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
25,202220,1,CIRRUS DESIGN CORP,SR22T,CIRRUS DESIGN CORP SR22T,AIR,,N272HM,Substantial,None,None,1.0,REC,True,False,,091,BUS,2026-04-03 04:05:44.570293+00:00
26,202261,1,ELA,ELA10,ELA ELA10,GYRO,,N396S,Substantial,None,None,1.0,REC,True,True,,091,UNK,2026-04-03 04:05:44.570293+00:00
27,202207,1,CESSNA,A188,CESSNA A188,AIR,,N,Substantial,None,None,,,True,False,,000,,2026-04-03 04:05:44.570293+00:00
28,202203,1,BEECH,K35,BEECH K35,AIR,,N9540R,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
29,202202,1,CESSNA,172N,CESSNA 172N,AIR,,N1517E,Minor,None,None,1.0,,True,False,ACADEMY OF AVIATION,091,INST,2026-04-03 04:05:44.570293+00:00
30,202202,2,CESSNA,152,CESSNA 152,AIR,,N65199,Substantial,None,None,1.0,,True,False,LONG ISLAND AVIATORS LLC,091,INST,2026-04-03 04:05:44.570293+00:00
31,202194,1,BOEING,PT-13D,BOEING PT-13D,AIR,,N68830,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
32,202201,1,BEECHCRAFT,B300,BEECHCRAFT B300,AIR,,ANX1209,Destroyed,None,None,2.0,,False,False,The country of Mexico,000,OWRK,2026-04-03 04:05:44.570293+00:00
33,202205,1,BOEING,787,BOEING 787,AIR,,JA865J,None,None,None,,,False,False,Japan Airlines,129,,2026-04-03 04:05:44.570293+00:00
34,202232,1,PIPER,PA-44-180,PIPER PA-44-180,AIR,,N156WM,Substantial,None,None,2.0,,True,False,FIXED WING HOLDING COMPANY INC,091,INST,2026-04-03 04:05:44.570293+00:00
35,202260,1,CESSNA,150,CESSNA 150,AIR,,N3103V,Substantial,None,None,1.0,,True,False,N3103V LLC,091,INST,2026-04-03 04:05:44.570293+00:00
36,202199,1,AVIAT AIRCRAFT INC,A-1C-200,AVIAT AIRCRAFT INC A-1C-200,AIR,,N656B,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
37,202243,1,BOEING,737,BOEING 737,AIR,,TC-SOC,Minor,On-Ground,None,2.0,TF,False,False,Sun Express Airlines,000,,2026-04-03 04:05:44.570293+00:00
38,202191,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N242AZ,Substantial,On-Ground,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
39,202226,1,BEECH,B200,BEECH B200,AIR,,PS-GAC,Substantial,On-Ground,None,2.0,,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
40,202192,1,CESSNA,150F,CESSNA 150F,AIR,,N8155S,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
41,202218,1,CESSNA,172D,CESSNA 172D,AIR,,N2536U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
42,202275,1,ALON,A-2A,ALON A-2A,AIR,,N818SW,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
43,202219,1,GLYNN,RS-3,GLYNN RS-3,AIR,,N3012G,Destroyed,On-Ground,On-Ground,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
44,202186,1,BELL HELICOPTER TEXTRON CANADA,505,BELL HELICOPTER TEXTRON CANADA 505,HELI,,N505TZ,None,None,None,1.0,,True,False,BELL TEXTRON INC,091,INST,2026-04-03 04:05:44.570293+00:00
45,202334,1,BOEING,737,BOEING 737,AIR,,XA-VDM,Minor,None,None,,,False,False,Grupo Aereo Monterrey,129,,2026-04-03 04:05:44.570293+00:00
46,202240,1,CIRRUS DESIGN CORP,SR22T,CIRRUS DESIGN CORP SR22T,AIR,,N53KH,Substantial,None,None,1.0,,True,False,53KWD LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
47,202158,1,PORTO,Risen SV,PORTO RISEN,AIR,,N817D,Substantial,None,None,1.0,REC,True,True,,091,FLTS,2026-04-03 04:05:44.570293+00:00
48,202182,1,CESSNA,550,CESSNA 550,AIR,,N257BW,Substantial,On-Ground,Unknown,2.0,,True,False,GB AVIATION LEASING LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
49,202185,1,HOLTAWAY ROBERT F,VELOCITY V-TWIN,HOLTAWAY ROBERT F VELOCITY,AIR,,N22EU,Substantial,None,None,2.0,,True,True,TEAM FLYER LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
50,202178,1,PIPER,PA-30,PIPER PA-30,AIR,,N8693Y,Substantial,None,None,2.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
51,202183,1,MOONEY,M20J,MOONEY M20J,AIR,,N87PM,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
52,202215,1,LANCAIR,360,LANCAIR 360,AIR,,EC-XXD,Substantial,None,None,1.0,REC,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
53,202210,1,CESSNA,172,CESSNA 172,AIR,,5N-ASR,Substantial,Unknown,None,,,False,False,,091,,2026-04-03 04:05:44.570293+00:00
54,202198,1,PIPER AIRCRAFT INC,PA-28-181,PIPER AIRCRAFT INC PA-28-181,AIR,,N472A,Substantial,None,None,1.0,,True,False,ARCHER AIRCRAFT LLC,091,INST,2026-04-03 04:05:44.570293+00:00
55,202193,1,MARK O TREIDEL,American Ranger AR-1,MARK O TREIDEL AMERICAN,GYRO,,N529MW,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
56,202172,1,MOONEY,M20E,MOONEY M20E,AIR,,N9081V,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
57,202257,1,LOCKHEED MARTIN,C-130H,LOCKHEED MARTIN C-130H,AIR,,N382CG,None,None,None,4.0,,False,False,CSC DELAWARE TRUST CO TRUSTEE,129,,2026-04-03 04:05:44.570293+00:00
58,202166,1,CESSNA,650,CESSNA 650,AIR,,XA-PRO,Destroyed,On-Ground,Unknown,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
59,202173,1,BEECHCRAFT CORP,G36,BEECHCRAFT CORP G36,AIR,,N360FV,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
60,202155,1,CESSNA,172,CESSNA 172,AIR,,EI-DDX,Substantial,None,None,1.0,REC,False,False,,000,,2026-04-03 04:05:44.570293+00:00
61,202177,1,BELL,407,BELL 407,HELI,,N404LL,Substantial,None,None,1.0,TS,False,False,Air Methods LLC,135,BUS,2026-04-03 04:05:44.570293+00:00
62,202162,1,WACO,RNF,WACO RNF,AIR,,N110Y,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
63,202162,2,CIRRUS,SR20,CIRRUS SR20,AIR,,N506AV,Substantial,None,None,1.0,REC,True,False,WESTWIND SCHOOL OF AERONAUTICS PHOENIX LLC DBA,091,INST,2026-04-03 04:05:44.570293+00:00
64,202167,1,BELL TEXTRON CANADA LTD,505,BELL TEXTRON CANADA LTD 505,HELI,,N865S,Substantial,None,None,1.0,,True,False,B&H EQUIPMENT RENTAL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
65,202241,1,ROCKWELL INTERNATIONAL,114,ROCKWELL INTERNATIONAL 114,AIR,,N5879N,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
66,202150,1,AMERICAN CHAMPION AIRCRAFT,8KCAB,AMERICAN CHAMPION AIRCRAFT 8KCAB,AIR,,N157WB,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
67,202151,1,CESSNA,172N,CESSNA 172N,AIR,,RA-67438,Destroyed,None,None,,,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
68,202164,1,BELL,206,BELL 206,HELI,,ZK-IWZ,Substantial,Unknown,Unknown,,,False,False,,137,,2026-04-03 04:05:44.570293+00:00
69,202156,1,CESSNA,172M,CESSNA 172M,AIR,,N20305,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
70,202154,1,SONERAI,II,SONERAI II,AIR,,N28MD,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
71,202258,1,PIPISTREL D O O,PANTHERA X152,PIPISTREL D O O PANTHERA,AIR,,N37RR,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
72,202342,1,CESSNA,414,CESSNA 414,AIR,,N1668T,Substantial,None,None,2.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
73,202153,1,PIPER,PA-28-160,PIPER PA-28-160,AIR,,N5005W,Unknown,None,None,1.0,REC,True,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
74,202160,1,BOEING,727,BOEING 727,AIR,,HK5216,Minor,None,None,3.0,,False,False,Aerosucre,000,,2026-04-03 04:05:44.570293+00:00
75,202345,1,GULFSTREAM,G-VSP,GULFSTREAM G-VSP,AIR,,VH-PFL,Minor,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
76,202145,1,CESSNA,TU206,CESSNA TU206,AIR,,N917WC,Substantial,None,None,1.0,,True,False,BARR AIR PATROL LLC,091,AOBV,2026-04-03 04:05:44.570293+00:00
77,202557,1,ATR,ATR42,ATR ATR42,AIR,,JA14HC,None,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
78,202152,1,PIPER,PA-28-181,PIPER PA-28-181,AIR,,N620AC,Substantial,None,None,1.0,,True,False,ARI BEN AVIATOR INC,091,PERS,2026-04-03 04:05:44.570293+00:00
79,202259,1,ROBIN,DR400,ROBIN DR400,AIR,,F-GLVG,Destroyed,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
80,202148,1,CESSNA,172,CESSNA 172,AIR,,CP-2959,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
81,202570,1,CESSNA,208,CESSNA 208,AIR,,VH-KSA,Substantial,None,None,,,False,False,,135,,2026-04-03 04:05:44.570293+00:00
82,202385,1,CESSNA,172,CESSNA 172,,,VT-CAZ,,,,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
83,202138,1,PIPER,PA28,PIPER PA28,AIR,,N6058F,Substantial,None,None,1.0,REC,True,False,AMERIFLYERS OF TEXAS INC,091,INST,2026-04-03 04:05:44.570293+00:00
84,202143,1,MAULE,M-5-210C,MAULE M-5-210C,AIR,,N339X,Substantial,None,None,1.0,REC,True,False,,091,FERY,2026-04-03 04:05:44.570293+00:00
85,202132,1,BEECH,95-C55,BEECH 95-C55,AIR,,N95KC,Substantial,None,None,2.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
86,202197,1,BOEING,737,BOEING 737,AIR,,G-JZHT,Substantial,None,None,,,False,False,Jet2 Airlines,129,,2026-04-03 04:05:44.570293+00:00
87,202129,1,CESSNA,172,CESSNA 172,AIR,,N64859,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
88,202171,1,BOEING,737,BOEING 737,,,9H-VUE,,,,,,False,False,Malta Air,000,,2026-04-03 04:05:44.570293+00:00
89,202144,1,ROTORWAY,EXEC,ROTORWAY EXEC,HELI,,C-GBZD,Substantial,None,None,1.0,REC,False,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
90,202141,1,BOEING,737,BOEING 737,AIR,,YV3063,None,None,None,2.0,TF,False,False,,000,,2026-04-03 04:05:44.570293+00:00
91,202131,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N19SK,Substantial,None,None,1.0,,True,False,EAGLE CAPITAL HOLDINGS LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
92,202124,1,CESSNA,172M,CESSNA 172M,AIR,,N6542H,Substantial,None,None,1.0,,True,False,OWENS FLIGHT TRAINING LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
93,202280,1,CESSNA,A188,CESSNA A188,AIR,,HI799,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
94,202163,1,BOEING,727,BOEING 727,AIR,,HK5216,None,None,None,3.0,,False,False,Aerosucre,000,,2026-04-03 04:05:44.570293+00:00
95,202127,1,ZENITH STOL,CH701,ZENITH STOL CH701,AIR,,N701SA,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
96,202125,1,PIPER,PA32RT,PIPER PA32RT,AIR,,YV1560,Substantial,None,None,,,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
97,202111,1,HUGHES,369D,HUGHES 369D,HELI,,N161LA,Substantial,None,None,1.0,,True,False,,091,AOBV,2026-04-03 04:05:44.570293+00:00
98,202130,1,ROBINSON,R44,ROBINSON R44,,,LV-JKR,,,,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
99,202106,1,BAE,BAE146,BAE BAE146,,,CC-ARN,,,,,,False,False,Aerovias Dap,000,,2026-04-03 04:05:44.570293+00:00
100,202109,1,MOONEY AIRCRAFT CORP.,M20K,MOONEY AIRCRAFT CORP. M20K,AIR,,N57229,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
101,202096,1,ROBINSON,R22,ROBINSON R22,,,VH-HFQ,,,,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
102,202113,1,BOEING,DC3C-S1C3G,BOEING DC3C-S1C3G,,,LV-VYL,,,,,,False,False,,000,INST,2026-04-03 04:05:44.570293+00:00
103,200918,1,SIKORSKY AIRCRAFT CORP,S-76,SIKORSKY AIRCRAFT CORP S-76,HELI,,N36RP,Substantial,None,None,2.0,,False,False,Paradigm Helicopters LLC,135,,2026-04-03 04:05:44.570293+00:00
104,200914,1,PIPER,PA-28-140,PIPER PA-28-140,AIR,,N5714F,Substantial,None,None,1.0,REC,True,False,Piston Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
105,200839,1,CESSNA,A185F,CESSNA A185F,AIR,,N714HE,Substantial,None,None,1.0,,True,False,,091,FERY,2026-04-03 04:05:44.570293+00:00
106,200907,1,PIPER,PA-28R-200,PIPER PA-28R-200,AIR,,N1147X,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
107,200961,1,CHAMPION,7GCBC,CHAMPION 7GCBC,AIR,,N5267X,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
108,200923,1,AMERICAN CHAMPION AIRCRAFT,8KCAB,AMERICAN CHAMPION AIRCRAFT 8KCAB,AIR,,N15WJ,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
109,200908,1,CESSNA,182,CESSNA 182,AIR,,N628FN,Substantial,None,None,1.0,REC,True,False,Steven Immerman,091,PERS,2026-04-03 04:05:44.570293+00:00
110,200906,1,CESSNA,172M,CESSNA 172M,AIR,,N61657,Destroyed,On-Ground,None,1.0,,True,False,BELL ORNITHOPTERS FLYING CLUB INC,091,PERS,2026-04-03 04:05:44.570293+00:00
111,200906,2,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/LC,EXTRA FLUGZEUGPRODUKTIONS-UND EA,AIR,,N330AN,Destroyed,On-Ground,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
112,200826,1,MARSHALL ALLEN L,RV6A,MARSHALL ALLEN L RV6A,AIR,,N692AC,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
113,200905,1,AIRBUS CANADA,BD500,AIRBUS CANADA BD500,AIR,,C-GYLQ,None,None,None,2.0,TF,False,False,Air Canada,129,,2026-04-03 04:05:44.570293+00:00
114,200922,1,NAVAL AIRCRAFT FACTORY,N3N-3,NAVAL AIRCRAFT FACTORY N3N-3,AIR,,N45254,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
115,200928,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N442PR,Substantial,None,None,1.0,REC,True,False,A&E AERIAL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
116,200940,1,CESSNA,150,CESSNA 150,AIR,,N22998,Minor,None,None,1.0,,True,False,BUSY BEES AIRWAYS CORP,091,PERS,2026-04-03 04:05:44.570293+00:00
117,200940,2,CESSNA,172,CESSNA 172,AIR,,N6185U,Substantial,None,None,1.0,,True,False,Academy of Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
118,201755,1,CESSNA,182M,CESSNA 182M,AIR,,N71331,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
119,200916,1,CESSNA,152,CESSNA 152,AIR,,N89585,Substantial,None,None,1.0,REC,True,False,VINLAND FLIGHT SCHOOL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
120,201052,1,EMBRAER,ERJ190,EMBRAER ERJ190,AIR,,EC-OEC,None,None,None,2.0,,False,False,Binter Canarias S.A.,000,,2026-04-03 04:05:44.570293+00:00
121,201052,2,BEECH,300,BEECH 300,AIR,,EC-KJQ,None,None,None,2.0,,False,False,SENASA,000,,2026-04-03 04:05:44.570293+00:00
122,200960,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N74435,Substantial,None,None,1.0,,False,False,POLLUX AVIATION LTD,135,,2026-04-03 04:05:44.570293+00:00
123,200904,1,CESSNA,172,CESSNA 172,AIR,,N1607F,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
124,200899,1,EMBRAER S A,ERJ 170-200 LL,EMBRAER S A ERJ,AIR,,N110SY,None,None,None,2.0,,False,False,SKYWEST AIRLINES INC,121,,2026-04-03 04:05:44.570293+00:00
125,200903,1,GLASAIR,GlaStar,GLASAIR GLASTAR,AIR,,N605MN,Substantial,In-Flight,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
126,200941,1,BOEING,737,BOEING 737,,,OK-TVW,,,,,,False,False,Smartwings,129,,2026-04-03 04:05:44.570293+00:00
127,200924,1,PIPER,PA-24-250,PIPER PA-24-250,AIR,,N7412P,Substantial,None,None,1.0,,True,False,ESPYESS AVIATION LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
128,200898,1,AIRBUS INDUSTRIE,A320-212,AIRBUS INDUSTRIE A320-212,AIR,,N373NW,None,None,None,2.0,,False,False,DELTA AIR LINES INC,121,,2026-04-03 04:05:44.570293+00:00
129,200929,1,BOEING,787,BOEING 787,AIR,,B-20DI,Minor,None,None,,,False,False,Juneyao Air,000,,2026-04-03 04:05:44.570293+00:00
130,200897,1,CESSNA,172R,CESSNA 172R,AIR,,N5181A,Substantial,None,None,1.0,REC,True,False,SOUTHEASTERN OKLAHOMA STATE UNIVERSITY,091,INST,2026-04-03 04:05:44.570293+00:00
131,200803,1,CESSNA,140,CESSNA 140,AIR,,N89447,Unknown,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
132,201721,1,CESSNA,172,CESSNA 172,AIR,,5Y-GMM,Minor,None,None,,REC,False,False,,000,INST,2026-04-03 04:05:44.570293+00:00
133,200893,1,CESSNA,210D,CESSNA 210D,AIR,,N3806Y,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
134,200900,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N45JN,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
135,200934,1,CESSNA,172H,CESSNA 172H,AIR,,N8078L,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
136,200945,1,BOEING,787,BOEING 787,AIR,,VT-TSD,None,None,None,,,False,False,Air India,129,,2026-04-03 04:05:44.570293+00:00
137,200921,1,CESSNA,170A,CESSNA 170A,AIR,,N1755D,Substantial,None,None,1.0,REC,True,False,Boeing Employees Flying Association,091,INST,2026-04-03 04:05:44.570293+00:00
138,200687,1,AVIAT AIRCRAFT INC,A-1B,AVIAT AIRCRAFT INC A-1B,AIR,,N900HY,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
139,201009,1,BELL HELICOPTER TEXTRON CANADA,505,BELL HELICOPTER TEXTRON CANADA 505,HELI,,N505GR,Substantial,None,None,1.0,TS,True,False,Bell Training Academy,091,INST,2026-04-03 04:05:44.570293+00:00
140,200880,1,CESSNA,340,CESSNA 340,AIR,,N888MT,Substantial,On-Ground,None,2.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
141,200917,1,CESSNA,172M,CESSNA 172M,AIR,,N92356,Substantial,None,None,1.0,REC,True,False,HUB CITY AVIATION ACADEMY LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
142,200912,1,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,AIR,,N88SP,Substantial,None,None,1.0,REC,True,False,Nassau Flyers,091,PERS,2026-04-03 04:05:44.570293+00:00
143,200875,1,CESSNA,172S,CESSNA 172S,AIR,,N5203H,Destroyed,None,None,1.0,,True,False,Trade Winds Aviation,091,PERS,2026-04-03 04:05:44.570293+00:00
144,200887,1,BEECH,C35,BEECH C35,AIR,,N655D,Substantial,None,None,1.0,REC,True,False,,091,POSI,2026-04-03 04:05:44.570293+00:00
145,201039,1,BOEING,737,BOEING 737,AIR,,EI-IJX,None,None,None,2.0,,False,False,Ryanair,000,,2026-04-03 04:05:44.570293+00:00
146,201039,2,BOEING,737,BOEING 737,AIR,,G-DRTF,None,None,None,,,False,False,Jet2,000,,2026-04-03 04:05:44.570293+00:00
147,200864,1,PIPER,PA-28-140,PIPER PA-28-140,AIR,,N1684J,Substantial,None,None,1.0,,True,False,JARRIEL INVESTMENTS INC,091,INST,2026-04-03 04:05:44.570293+00:00
148,200874,1,VANS AIRCRAFT INC,RV-12IS,VANS AIRCRAFT INC RV-12IS,AIR,,N18HS,Substantial,None,None,1.0,REC,True,True,KETTLE MORAINE YOUTH AVIATION INC,091,PERS,2026-04-03 04:05:44.570293+00:00
149,200885,1,BOEING,727,BOEING 727,AIR,,YV665T,None,In-Flight,None,,TJ,False,False,Solar Cargo,000,,2026-04-03 04:05:44.570293+00:00
150,200867,1,BELL TEXTRON CANADA LTD,407,BELL TEXTRON CANADA LTD 407,HELI,,N38AJ,Substantial,None,None,1.0,,False,False,Life Flight Network,135,PUBU,2026-04-03 04:05:44.570293+00:00
151,200849,1,CESSNA,TU206,CESSNA TU206,AIR,,HK1833,Destroyed,On-Ground,Unknown,1.0,,False,False,SERVICIOS AEROEOS ESPECIALES GLOBAL LIFE AMBULANCIAS S.A.S.,000,OWRK,2026-04-03 04:05:44.570293+00:00
152,201890,1,AYRES CORPORATION,S2R-T34,AYRES CORPORATION S2R-T34,AIR,,N393KW,Substantial,None,None,1.0,TP,True,False,HOPPE AIR LLC,137,AAPL,2026-04-03 04:05:44.570293+00:00
153,200865,1,CESSNA,170B,CESSNA 170B,AIR,,N4584C,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
