vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
270,200733,1,CESSNA,T182T,CESSNA T182T,AIR,,N35370,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
271,200736,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N412DJ,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
272,200739,1,CESSNA,560,CESSNA 560,AIR,,5Y-FDN,Substantial,In-Flight,Unknown,,,False,False,African Medical and Research Foundation (AMREF) Flying Doctors,000,,2026-04-03 04:05:44.570293+00:00
273,200731,1,AIR TRACTOR INC,AT-301,AIR TRACTOR INC AT-301,AIR,,N23069,Substantial,None,None,1.0,,True,False,AG SPRAY INC,137,AAPL,2026-04-03 04:05:44.570293+00:00
274,200761,1,LANCAIR,ES,LANCAIR ES,AIR,,CA-AD05,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
275,200735,1,VANS,RV4,VANS RV4,AIR,,N595BS,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
276,200726,1,STOLP STARDUSTER,SA300,STOLP STARDUSTER SA300,AIR,,N983AM,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
277,200737,1,SCHWEIZER,SGS 2-33A,SCHWEIZER SGS,GLI,,N65818,Substantial,None,None,0.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
278,200724,1,AYRES CORPORATION,S2R-G6,AYRES CORPORATION S2R-G6,AIR,,N2239V,Substantial,None,None,1.0,,True,False,NORTH STAR AVIATION INC,137,,2026-04-03 04:05:44.570293+00:00
279,200730,1,BEECH,B200,BEECH B200,AIR,,G-NIAA,Unknown,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
280,200728,1,BEECH,35-C33,BEECH 35-C33,AIR,,N500HT,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
