"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA25LA188","ACC","200073","2025-04-23T18:03:00Z","Louisburg","North Carolina","United States",,"N6386V","172RG0649","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.015591999999998","-78.337791999999993","CESSNA","172RG","AIR","LHZ","TRIANGLE NORTH EXEC","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200073/pdf"
"ERA25LA186","ACC","200067","2025-04-23T17:21:00Z","Lakin","West Virginia","United States",,"N591R","TE-248","false","Aviation","DirectorBrief","2025-09-16T04:00:00Z",,"Serious","0","1","0","1","0","The pilot’s inadequate preflight inspection, and inadequate inflight fuel management, which resulted in a total loss of engine power due to fuel starvation and subsequent forced landing.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management",,"38.960000000000001","-82.069999999999993","BEECH","95-C55","AIR",,,"false","2","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200067/pdf"
"ERA25LA184","ACC","200058","2025-04-23T11:00:00Z","Zolfo Springs","Florida","United States",,"N28311","AA5B0555","false","Aviation","DirectorBrief","2026-03-19T04:00:00Z","2026-03-19T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control of the airplane during the takeoff. Contributing was the flight instructor’s lack of remedial action.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Lack of action - Instructor/check pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"27.455556000000001","-82.105000000000004","GRUMMAN AMERICAN AVN. CORP.","AA-5B","AIR","67FL","BALD EAGLE AIRFIELD- MYAKKA HEAD","false","1","REC",,"INST","091","Destroyed","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200058","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200058/pdf"
"GAA25WA144","ACC","200060","2025-04-23T09:30:00Z","Sangkiang Village",,"Papua New Guinea",,"VH-SOY",,"false","Aviation","","2025-07-02T04:00:00Z",,"Fatal","1","0","0","1",,,,,,,"CESSNA","188","AIR",,,"false",,,,,"NUSN","Destroyed",,,"N/A",,"Final","","None"
"DCA25WA192","INC","200064","2025-04-22T14:53:00Z","Ras Al Khaimah",,"United Arab Emirates",,"VT-AXZ","36336","false","Aviation","",,,"None","0","0","0","0",,,,,,,"BOEING","737","AIR",,,"false",,,,,"NUSC","Minor",,"Air India Express","N/A",,"Prelim","","None"
"CEN25LA162","ACC","200057","2025-04-22T14:25:00Z","Fayetteville","Arkansas","United States",,"N4795C","21063629","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.005096000000002","-94.170062999999999","CESSNA","T210N","AIR","KFYV",,"false","1",,,"PERS","091","Substantial","VMC","SOUTH DELTA AVIATION INC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200057/pdf"
"GAA25WA182","ACC","200302","2025-04-22T08:20:00Z","Amreli",,"India",,"VT-VDF",,"false","Aviation","","2025-10-15T04:00:00Z",,"Fatal","1","0","0","1",,,,,,,"TECNAM","P2008","AIR",,,"false",,,,,"UNK","Destroyed",,,"N/A",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200302/pdf"
"DCA25WA301","INC","200830","2025-04-22T07:30:00Z","Luton",,"United Kingdom",,"G-CRUX",,"false","Aviation","","2025-09-04T04:00:00Z",,,,,,,,,,,,,"BOEING","737","AIR","EGGW","London Luton Airport","false",,,,,"NUSC","None",,,"N/A",,"Final","","None"
"ENG25WA030","INC","200056","2025-04-22T04:00:00Z","Budapest",,"Hungary",,"SP-RZU",,"false","Aviation","","2025-07-23T04:00:00Z",,"None","0","0","0","0",,,,,,,"BOEING","737","AIR",,,"false",,"TF",,,"NUSC","Unknown",,,"N/A",,"Final","","None"
"WPR25LA139","ACC","200049","2025-04-20T12:24:00Z","Oakland","California","United States",,"N22QT","40.491","false","Aviation","DirectorBrief","2025-08-11T04:00:00Z","2025-08-11T17:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain airplane control during takeoff with a left quartering crosswind.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,"37.732452000000002","-122.21957999999999","DIAMOND AIRCRAFT IND INC","DA 40","AIR","KOAK","Oakland International","false","1","REC",,"PERS","091","Substantial","VMC","ALAMEDA AERO CLUB","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200049","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200049/pdf"
